round,price_basis,group,measure,quantile_type,quantile_number,weighted_mean_wealth,
6,Nominal,Owner,Financial wealth,decile,2,5560.880232,
6,Nominal,Owner,Financial wealth,decile,3,12992.21234,
6,Nominal,Owner,Financial wealth,decile,4,24744.83482,
6,Nominal,Owner,Financial wealth,decile,5,41286.02717,
6,Nominal,Owner,Financial wealth,decile,6,64403.41343,
6,Nominal,Owner,Financial wealth,decile,7,100223.0562,
6,Nominal,Owner,Financial wealth,decile,8,149671.1762,
6,Nominal,Owner,Financial wealth,decile,9,256089.7562,
6,Nominal,Owner,Financial wealth,decile,10,796463.0004,
6,Nominal,Owner,Financial wealth,quintile,1,3310.245555,
6,Nominal,Owner,Financial wealth,quintile,2,18856.18182,
6,Nominal,Owner,Financial wealth,quintile,3,52808.23202,
6,Nominal,Owner,Financial wealth,quintile,4,124895.8774,
6,Nominal,Owner,Financial wealth,quintile,5,527912.6245,
6,Nominal,Owner,Private pension wealth,decile,1,0.182981549,
6,Nominal,Owner,Private pension wealth,decile,2,23284.63161,
6,Nominal,Owner,Private pension wealth,decile,3,84820.32534,
6,Nominal,Owner,Private pension wealth,decile,4,150151.482,
6,Nominal,Owner,Private pension wealth,decile,5,237657.8385,
6,Nominal,Owner,Private pension wealth,decile,6,341141.4839,
6,Nominal,Owner,Private pension wealth,decile,7,460206.3621,
6,Nominal,Owner,Private pension wealth,decile,8,601715.4502,
6,Nominal,Owner,Private pension wealth,decile,9,845554.7723,
6,Nominal,Owner,Private pension wealth,decile,10,1646203.045,
6,Nominal,Owner,Private pension wealth,quintile,1,11676.26961,
6,Nominal,Owner,Private pension wealth,quintile,2,117681.9382,
6,Nominal,Owner,Private pension wealth,quintile,3,289399.2448,
6,Nominal,Owner,Private pension wealth,quintile,4,530966.6082,
6,Nominal,Owner,Private pension wealth,quintile,5,1245047.059,
6,Nominal,Owner,Physical wealth,decile,1,14686.7971,
6,Nominal,Owner,Physical wealth,decile,2,26975.18164,
6,Nominal,Owner,Physical wealth,decile,3,36155.85518,
6,Nominal,Owner,Physical wealth,decile,4,44726.40557,
6,Nominal,Owner,Physical wealth,decile,5,53356.11476,
6,Nominal,Owner,Physical wealth,decile,6,64210.87083,
6,Nominal,Owner,Physical wealth,decile,7,71913.91603,
6,Nominal,Owner,Physical wealth,decile,8,84199.76863,
6,Nominal,Owner,Physical wealth,decile,9,102812.0599,
6,Nominal,Owner,Physical wealth,decile,10,210251.0114,
6,Nominal,Owner,Physical wealth,quintile,1,20831.34698,
6,Nominal,Owner,Physical wealth,quintile,2,40439.98137,
6,Nominal,Owner,Physical wealth,quintile,3,58763.84696,
6,Nominal,Owner,Physical wealth,quintile,4,78050.44315,
6,Nominal,Owner,Physical wealth,quintile,5,156508.3333,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,1,193717.4053,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,2,334844.4374,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,3,459537.5107,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,4,597644.3032,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,5,743563.8825,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,6,936111.9974,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,7,1160388.608,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,8,1422726.814,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,9,1913379.485,
6,Real terms (March 2022 prices),Owner,Total wealth,decile,10,3596845.82,
6,Real terms (March 2022 prices),Owner,Total wealth,quintile,1,265364.0035,
6,Real terms (March 2022 prices),Owner,Total wealth,quintile,2,528824.3029,
6,Real terms (March 2022 prices),Owner,Total wealth,quintile,3,839738.9806,
6,Real terms (March 2022 prices),Owner,Total wealth,quintile,4,1292024.842,
6,Real terms (March 2022 prices),Owner,Total wealth,quintile,5,2755629.062,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,1,144558.3472,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,2,216746.6549,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,3,276120.9078,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,4,337972.6984,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,5,410405.9574,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,6,499917.9302,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,7,599748.7482,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,8,770448.135,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,9,1035110.141,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,10,2202082.984,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,1,180621.0357,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,2,307021.1728,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,3,455049.2114,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,4,685199.8945,
6,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,5,1619945.642,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,1,90723.38392,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,2,141085.0804,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,3,179644.8938,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,4,214130.2173,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,5,262157.7428,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,6,319865.4059,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,7,392828.1164,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,8,491503.9267,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,9,652189.8116,
6,Real terms (March 2022 prices),Owner,Property wealth,decile,10,1373423.229,
6,Real terms (March 2022 prices),Owner,Property wealth,quintile,1,115978.4509,
6,Real terms (March 2022 prices),Owner,Property wealth,quintile,2,196856.7822,
6,Real terms (March 2022 prices),Owner,Property wealth,quintile,3,290900.456,
6,Real terms (March 2022 prices),Owner,Property wealth,quintile,4,442141.4192,
6,Real terms (March 2022 prices),Owner,Property wealth,quintile,5,1014097.001,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,1,1157.196004,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,2,6164.058487,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,3,14401.45326,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,4,27428.86068,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,5,45764.24515,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,6,71389.13097,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,7,111094.0632,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,8,165905.7282,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,9,283867.332,
6,Real terms (March 2022 prices),Owner,Financial wealth,decile,10,882853.8492,
6,Real terms (March 2022 prices),Owner,Financial wealth,quintile,1,3669.301686,
6,Real terms (March 2022 prices),Owner,Financial wealth,quintile,2,20901.47652,
6,Real terms (March 2022 prices),Owner,Financial wealth,quintile,3,58536.24196,
6,Real terms (March 2022 prices),Owner,Financial wealth,quintile,4,138443.0992,
6,Real terms (March 2022 prices),Owner,Financial wealth,quintile,5,585174.3174,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,1,0.202829215,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,2,25810.27196,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,3,94020.62705,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,4,166438.1318,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,5,263436.1388,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,6,378144.4612,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,7,510124.0836,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,8,666982.3972,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,9,937270.5136,
6,Real terms (March 2022 prices),Owner,Private pension wealth,decile,10,1824763.604,
6,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,1,12942.77268,
6,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,2,130446.6775,
6,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,3,320789.8385,
6,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,4,588559.561,
6,Real terms (March 2022 prices),Owner,Private pension wealth,quintile,5,1380094.98,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,1,16279.84645,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,2,29901.12903,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,3,40077.61302,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,4,49577.79495,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,5,59143.55251,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,6,71175.70363,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,7,79714.28371,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,8,93332.7597,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,9,113963.8914,
6,Real terms (March 2022 prices),Owner,Physical wealth,decile,10,233056.5446,
6,Real terms (March 2022 prices),Owner,Physical wealth,quintile,1,23090.88414,
6,Real terms (March 2022 prices),Owner,Physical wealth,quintile,2,44826.43035,
6,Real terms (March 2022 prices),Owner,Physical wealth,quintile,3,65137.8513,
6,Real terms (March 2022 prices),Owner,Physical wealth,quintile,4,86516.42842,
6,Real terms (March 2022 prices),Owner,Physical wealth,quintile,5,173484.4988,
6,Nominal,Renter,Total wealth,decile,1,3271.201985,
6,Nominal,Renter,Total wealth,decile,2,8406.622097,
6,Nominal,Renter,Total wealth,decile,3,14989.62307,
6,Nominal,Renter,Total wealth,decile,4,23404.05832,
6,Nominal,Renter,Total wealth,decile,5,33756.89016,
6,Nominal,Renter,Total wealth,decile,6,52738.4998,
6,Nominal,Renter,Total wealth,decile,7,86843.46197,
6,Nominal,Renter,Total wealth,decile,8,133537.5684,
6,Nominal,Renter,Total wealth,decile,9,216087.3972,
6,Nominal,Renter,Total wealth,decile,10,692916.2593,
6,Nominal,Renter,Total wealth,quintile,1,5812.076563,
6,Nominal,Renter,Total wealth,quintile,2,19250.64073,
6,Nominal,Renter,Total wealth,quintile,3,43275.26452,
6,Nominal,Renter,Total wealth,quintile,4,109961.9353,
6,Nominal,Renter,Total wealth,quintile,5,456124.9332,
6,Nominal,Renter,Total wealth excl private pension,decile,1,962.3265605,
6,Nominal,Renter,Total wealth excl private pension,decile,2,6244.651035,
6,Nominal,Renter,Total wealth excl private pension,decile,3,9626.068726,
6,Nominal,Renter,Total wealth excl private pension,decile,4,15080.23407,
6,Nominal,Renter,Total wealth excl private pension,decile,5,19027.09483,
6,Nominal,Renter,Total wealth excl private pension,decile,6,25554.01014,
6,Nominal,Renter,Total wealth excl private pension,decile,7,31449.5845,
6,Nominal,Renter,Total wealth excl private pension,decile,8,40748.73527,
6,Nominal,Renter,Total wealth excl private pension,decile,9,59559.38639,
6,Nominal,Renter,Total wealth excl private pension,decile,10,227019.6255,
6,Nominal,Renter,Total wealth excl private pension,quintile,1,3611.830963,
6,Nominal,Renter,Total wealth excl private pension,quintile,2,12387.80304,
6,Nominal,Renter,Total wealth excl private pension,quintile,3,22301.61129,
6,Nominal,Renter,Total wealth excl private pension,quintile,4,36153.7672,
6,Nominal,Renter,Total wealth excl private pension,quintile,5,143788.5885,
6,Nominal,Renter,Property wealth,decile,1,-163.4191324,
6,Nominal,Renter,Property wealth,decile,2,0,
6,Nominal,Renter,Property wealth,decile,3,0,
6,Nominal,Renter,Property wealth,decile,4,0,
6,Nominal,Renter,Property wealth,decile,5,0,
6,Nominal,Renter,Property wealth,decile,6,0,
6,Nominal,Renter,Property wealth,decile,7,0,
6,Nominal,Renter,Property wealth,decile,8,0,
6,Nominal,Renter,Property wealth,decile,9,0,
6,Nominal,Renter,Property wealth,decile,10,34608.57008,
6,Nominal,Renter,Property wealth,quintile,1,-81.71388958,
6,Nominal,Renter,Property wealth,quintile,2,0,
6,Nominal,Renter,Property wealth,quintile,3,0,
6,Nominal,Renter,Property wealth,quintile,4,0,
6,Nominal,Renter,Property wealth,quintile,5,17668.60852,
6,Nominal,Renter,Financial wealth,decile,1,4.505110728,
6,Nominal,Renter,Financial wealth,decile,2,82.21260711,
6,Nominal,Renter,Financial wealth,decile,3,326.8681306,
6,Nominal,Renter,Financial wealth,decile,4,650.8053667,
6,Nominal,Renter,Financial wealth,decile,5,1181.013985,
6,Nominal,Renter,Financial wealth,decile,6,2264.971544,
6,Nominal,Renter,Financial wealth,decile,7,4430.836066,
6,Nominal,Renter,Financial wealth,decile,8,7698.722141,
6,Nominal,Renter,Financial wealth,decile,9,17381.581,
6,Nominal,Renter,Financial wealth,decile,10,141904.6138,
6,Nominal,Renter,Financial wealth,quintile,1,44.46561552,
6,Nominal,Renter,Financial wealth,quintile,2,488.3712717,
6,Nominal,Renter,Financial wealth,quintile,3,1723.284005,
6,Nominal,Renter,Financial wealth,quintile,4,6100.521762,
6,Nominal,Renter,Financial wealth,quintile,5,79433.25667,
6,Nominal,Renter,Private pension wealth,decile,1,0,
6,Nominal,Renter,Private pension wealth,decile,2,0,
6,Nominal,Renter,Private pension wealth,decile,3,0,
6,Nominal,Renter,Private pension wealth,decile,4,0,
6,Nominal,Renter,Private pension wealth,decile,5,23.19459215,
6,Nominal,Renter,Private pension wealth,decile,6,10425.17421,
6,Nominal,Renter,Private pension wealth,decile,7,47281.09156,
6,Nominal,Renter,Private pension wealth,decile,8,88358.51662,
6,Nominal,Renter,Private pension wealth,decile,9,155109.1409,
6,Nominal,Renter,Private pension wealth,decile,10,531572.6594,
6,Nominal,Renter,Private pension wealth,quintile,1,0,
6,Nominal,Renter,Private pension wealth,quintile,2,0,
6,Nominal,Renter,Private pension wealth,quintile,3,5176.888378,
6,Nominal,Renter,Private pension wealth,quintile,4,67934.08094,
6,Nominal,Renter,Private pension wealth,quintile,5,342938.0551,
6,Nominal,Renter,Physical wealth,decile,1,2500,
6,Nominal,Renter,Physical wealth,decile,2,6437.871945,
6,Nominal,Renter,Physical wealth,decile,3,7847.251108,
6,Nominal,Renter,Physical wealth,decile,4,12889.44998,
6,Nominal,Renter,Physical wealth,decile,5,15119.93105,
6,Nominal,Renter,Physical wealth,decile,6,17820.87353,
6,Nominal,Renter,Physical wealth,decile,7,25176.61936,
6,Nominal,Renter,Physical wealth,decile,8,31835.8459,
6,Nominal,Renter,Physical wealth,decile,9,41717.20213,
6,Nominal,Renter,Physical wealth,decile,10,77800.06481,
6,Nominal,Renter,Physical wealth,quintile,1,4509.026526,
6,Nominal,Renter,Physical wealth,quintile,2,10363.11717,
6,Nominal,Renter,Physical wealth,quintile,3,16465.62585,
6,Nominal,Renter,Physical wealth,quintile,4,28433.92609,
6,Nominal,Renter,Physical wealth,quintile,5,59546.00933,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,1,3626.023133,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,2,9318.472638,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,3,16615.51938,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,4,25942.65266,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,5,37418.43676,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,6,58458.94602,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,7,96263.20951,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,8,148022.1381,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,9,239525.9922,
6,Real terms (March 2022 prices),Renter,Total wealth,decile,10,768075.5871,
6,Real terms (March 2022 prices),Renter,Total wealth,quintile,1,6442.501613,
6,Real terms (March 2022 prices),Renter,Total wealth,quintile,2,21338.72164,
6,Real terms (March 2022 prices),Renter,Total wealth,quintile,3,47969.25135,
6,Real terms (March 2022 prices),Renter,Total wealth,quintile,4,121889.3003,
6,Real terms (March 2022 prices),Renter,Total wealth,quintile,5,505599.9498,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,1,1066.708319,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,2,6921.996627,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,3,10670.19036,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,4,16715.9588,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,5,21090.92814,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,6,28325.80572,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,7,34860.86198,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,8,45168.67421,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,9,66019.68139,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,10,251644.0187,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,1,4003.599498,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,2,13731.48481,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,3,24720.62526,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,4,40075.29857,
6,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,5,159385.0672,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,1,-181.1448994,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,2,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,3,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,4,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,5,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,6,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,7,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,8,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,9,0,
6,Real terms (March 2022 prices),Renter,Property wealth,decile,10,38362.4968,
6,Real terms (March 2022 prices),Renter,Property wealth,quintile,1,-90.57724202,
6,Real terms (March 2022 prices),Renter,Property wealth,quintile,2,0,
6,Real terms (March 2022 prices),Renter,Property wealth,quintile,3,0,
6,Real terms (March 2022 prices),Renter,Property wealth,quintile,4,0,
6,Real terms (March 2022 prices),Renter,Property wealth,quintile,5,19585.08937,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,1,4.993771645,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,2,91.13005451,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,3,362.3229041,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,4,721.3970049,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,5,1309.116358,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,6,2510.648761,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,7,4911.440549,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,8,8533.788102,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,9,19266.92852,
6,Real terms (March 2022 prices),Renter,Financial wealth,decile,10,157296.7412,
6,Real terms (March 2022 prices),Renter,Financial wealth,quintile,1,49.28871749,
6,Real terms (March 2022 prices),Renter,Financial wealth,quintile,2,541.3439881,
6,Real terms (March 2022 prices),Renter,Financial wealth,quintile,3,1910.20539,
6,Real terms (March 2022 prices),Renter,Financial wealth,quintile,4,6762.233923,
6,Real terms (March 2022 prices),Renter,Financial wealth,quintile,5,88049.23313,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,1,0,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,2,0,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,3,0,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,4,0,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,5,25.71046608,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,6,11555.97331,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,7,52409.58294,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,8,97942.5993,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,9,171933.5387,
6,Real terms (March 2022 prices),Renter,Private pension wealth,decile,10,589231.3494,
6,Real terms (March 2022 prices),Renter,Private pension wealth,quintile,1,0,
6,Real terms (March 2022 prices),Renter,Private pension wealth,quintile,2,0,
6,Real terms (March 2022 prices),Renter,Private pension wealth,quintile,3,5738.415757,
6,Real terms (March 2022 prices),Renter,Private pension wealth,quintile,4,75302.76337,
6,Real terms (March 2022 prices),Renter,Private pension wealth,quintile,5,380135.9031,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,1,2771.170314,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,2,7136.175848,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,3,8698.427727,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,4,14287.54446,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,5,16759.96163,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,6,19753.87028,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,7,27907.48007,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,8,35289.02043,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,9,46242.18885,
6,Real terms (March 2022 prices),Renter,Physical wealth,decile,10,86238.89201,
6,Real terms (March 2022 prices),Renter,Physical wealth,quintile,1,4998.112182,
6,Real terms (March 2022 prices),Renter,Physical wealth,quintile,2,11487.18507,
6,Real terms (March 2022 prices),Renter,Physical wealth,quintile,3,18251.62143,
6,Real terms (March 2022 prices),Renter,Physical wealth,quintile,4,31518.10076,
6,Real terms (March 2022 prices),Renter,Physical wealth,quintile,5,66004.85335,
7,Nominal,Owner,Total wealth,decile,1,172116.7542,
7,Nominal,Owner,Total wealth,decile,2,308554.3618,
7,Nominal,Owner,Total wealth,decile,3,436733.9084,
7,Nominal,Owner,Total wealth,decile,4,565295.8325,
7,Nominal,Owner,Total wealth,decile,5,710552.917,
7,Nominal,Owner,Total wealth,decile,6,883146.569,
7,Nominal,Owner,Total wealth,decile,7,1090773.073,
7,Nominal,Owner,Total wealth,decile,8,1358204.489,
7,Nominal,Owner,Total wealth,decile,9,1816242.759,
7,Nominal,Owner,Total wealth,decile,10,3711936.405,
7,Nominal,Owner,Total wealth,quintile,1,240271.072,
7,Nominal,Owner,Total wealth,quintile,2,501068.5079,
7,Nominal,Owner,Total wealth,quintile,3,796575.3005,
7,Nominal,Owner,Total wealth,quintile,4,1224006.546,
7,Nominal,Owner,Total wealth,quintile,5,2770327.439,
7,Nominal,Owner,Total wealth excl private pension,decile,1,125070.1976,
7,Nominal,Owner,Total wealth excl private pension,decile,2,200135.8608,
7,Nominal,Owner,Total wealth excl private pension,decile,3,259085.8089,
7,Nominal,Owner,Total wealth excl private pension,decile,4,321755.6488,
7,Nominal,Owner,Total wealth excl private pension,decile,5,393842.4347,
7,Nominal,Owner,Total wealth excl private pension,decile,6,477008.2971,
7,Nominal,Owner,Total wealth excl private pension,decile,7,570734.6469,
7,Nominal,Owner,Total wealth excl private pension,decile,8,720759.1851,
7,Nominal,Owner,Total wealth excl private pension,decile,9,972772.3308,
7,Nominal,Owner,Total wealth excl private pension,decile,10,2187028.801,
7,Nominal,Owner,Total wealth excl private pension,quintile,1,162710.945,
7,Nominal,Owner,Total wealth excl private pension,quintile,2,290454.4958,
7,Nominal,Owner,Total wealth excl private pension,quintile,3,435403.928,
7,Nominal,Owner,Total wealth excl private pension,quintile,4,645708.6784,
7,Nominal,Owner,Total wealth excl private pension,quintile,5,1579982.245,
7,Nominal,Owner,Property wealth,decile,1,81322.9732,
7,Nominal,Owner,Property wealth,decile,2,134552.7165,
7,Nominal,Owner,Property wealth,decile,3,169419.0656,
7,Nominal,Owner,Property wealth,decile,4,205566.3939,
7,Nominal,Owner,Property wealth,decile,5,250466.452,
7,Nominal,Owner,Property wealth,decile,6,304539.1913,
7,Nominal,Owner,Property wealth,decile,7,372197.3365,
7,Nominal,Owner,Property wealth,decile,8,459303.4738,
7,Nominal,Owner,Property wealth,decile,9,628243.0933,
7,Nominal,Owner,Property wealth,decile,10,1326440.11,
7,Nominal,Owner,Property wealth,quintile,1,108068.4441,
7,Nominal,Owner,Property wealth,quintile,2,187509.2107,
7,Nominal,Owner,Property wealth,quintile,3,277539.4081,
7,Nominal,Owner,Property wealth,quintile,4,415662.8127,
7,Nominal,Owner,Property wealth,quintile,5,978872.5774,
7,Nominal,Owner,Financial wealth,decile,1,949.6350431,
7,Nominal,Owner,Financial wealth,decile,2,5292.404019,
7,Nominal,Owner,Financial wealth,decile,3,13331.99273,
7,Nominal,Owner,Financial wealth,decile,4,25562.44354,
7,Nominal,Owner,Financial wealth,decile,5,43333.21706,
7,Nominal,Owner,Financial wealth,decile,6,67434.04254,
7,Nominal,Owner,Financial wealth,decile,7,101973.9843,
7,Nominal,Owner,Financial wealth,decile,8,156733.4545,
7,Nominal,Owner,Financial wealth,decile,9,264019.6714,
7,Nominal,Owner,Financial wealth,decile,10,895004.1368,
7,Nominal,Owner,Financial wealth,quintile,1,3121.703709,
7,Nominal,Owner,Financial wealth,quintile,2,19473.05365,
7,Nominal,Owner,Financial wealth,quintile,3,55451.97132,
7,Nominal,Owner,Financial wealth,quintile,4,129260.821,
7,Nominal,Owner,Financial wealth,quintile,5,580036.6651,
7,Nominal,Owner,Private pension wealth,decile,1,3.901458843,
7,Nominal,Owner,Private pension wealth,decile,2,25936.64097,
7,Nominal,Owner,Private pension wealth,decile,3,90482.49136,
7,Nominal,Owner,Private pension wealth,decile,4,162920.0946,
7,Nominal,Owner,Private pension wealth,decile,5,246794.0033,
7,Nominal,Owner,Private pension wealth,decile,6,345093.0897,
7,Nominal,Owner,Private pension wealth,decile,7,471377.5936,
7,Nominal,Owner,Private pension wealth,decile,8,640864.1866,
7,Nominal,Owner,Private pension wealth,decile,9,903987.2475,
7,Nominal,Owner,Private pension wealth,decile,10,1948270.682,
7,Nominal,Owner,Private pension wealth,quintile,1,13050.05453,
7,Nominal,Owner,Private pension wealth,quintile,2,126801.3848,
7,Nominal,Owner,Private pension wealth,quintile,3,295723.7203,
7,Nominal,Owner,Private pension wealth,quintile,4,556014.9428,
7,Nominal,Owner,Private pension wealth,quintile,5,1426459.333,
7,Nominal,Owner,Physical wealth,decile,1,13220.43159,
7,Nominal,Owner,Physical wealth,decile,2,25180.63356,
7,Nominal,Owner,Physical wealth,decile,3,35120.53584,
7,Nominal,Owner,Physical wealth,decile,4,44573.64183,
7,Nominal,Owner,Physical wealth,decile,5,53649.28214,
7,Nominal,Owner,Physical wealth,decile,6,63987.91492,
7,Nominal,Owner,Physical wealth,decile,7,72723.59726,
7,Nominal,Owner,Physical wealth,decile,8,88457.472,
7,Nominal,Owner,Physical wealth,decile,9,110291.0752,
7,Nominal,Owner,Physical wealth,decile,10,226284.0736,
7,Nominal,Owner,Physical wealth,quintile,1,19214.43948,
7,Nominal,Owner,Physical wealth,quintile,2,39860.25202,
7,Nominal,Owner,Physical wealth,quintile,3,58809.24413,
7,Nominal,Owner,Physical wealth,quintile,4,80576.63847,
7,Nominal,Owner,Physical wealth,quintile,5,169033.6885,
7,Real terms (March 2022 prices),Owner,Total wealth,decile,1,184637.2179,
7,Real terms (March 2022 prices),Owner,Total wealth,decile,2,330999.8449,
7,Real terms (March 2022 prices),Owner,Total wealth,decile,3,468503.6863,
7,Real terms (March 2022 prices),Owner,Total wealth,decile,4,606417.7208,
7,Real terms (March 2022 prices),Owner,Total wealth,decile,5,762241.3889,
7,Real terms (March 2022 prices),Owner,Total wealth,decile,6,947390.1961,
