round,price_basis,group,measure,quantile_type,quantile_number,weighted_mean_wealth,
5,Nominal,Owner,Physical wealth,quintile,5,153019.9748,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,1,177145.5795,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,2,313138.7801,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,3,437047.6187,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,4,557200.3524,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,5,693610.5722,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,6,842749.7064,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,7,1060135.219,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,8,1317129.366,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,9,1762576.133,
5,Real terms (March 2022 prices),Owner,Total wealth,decile,10,3976913.754,
5,Real terms (March 2022 prices),Owner,Total wealth,quintile,1,245463.5615,
5,Real terms (March 2022 prices),Owner,Total wealth,quintile,2,497420.6509,
5,Real terms (March 2022 prices),Owner,Total wealth,quintile,3,768574.4872,
5,Real terms (March 2022 prices),Owner,Total wealth,quintile,4,1188703.016,
5,Real terms (March 2022 prices),Owner,Total wealth,quintile,5,2878594.039,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,1,134851.7956,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,2,208291.3141,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,3,263586.0792,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,4,326680.0214,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,5,386445.9787,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,6,466145.2404,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,7,560825.9058,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,8,693052.5193,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,9,956202.7712,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,decile,10,2718490.911,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,1,171615.922,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,2,295225.0408,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,3,426413.2718,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,4,627374.9335,
5,Real terms (March 2022 prices),Owner,Total wealth excl private pension,quintile,5,1839228.98,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,1,85527.16146,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,2,133939.6062,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,3,172237.8855,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,4,204107.0506,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,5,243199.1858,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,6,289008.0523,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,7,352471.0152,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,8,442685.3746,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,9,594803.1458,
5,Real terms (March 2022 prices),Owner,Property wealth,decile,10,1433183.866,
5,Real terms (March 2022 prices),Owner,Property wealth,quintile,1,109725.1987,
5,Real terms (March 2022 prices),Owner,Property wealth,quintile,2,188175.1914,
5,Real terms (March 2022 prices),Owner,Property wealth,quintile,3,266092.5501,
5,Real terms (March 2022 prices),Owner,Property wealth,quintile,4,397567.1056,
5,Real terms (March 2022 prices),Owner,Property wealth,quintile,5,1014036.946,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,1,882.3897039,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,2,5184.100336,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,3,13526.23849,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,4,26029.70854,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,5,43315.0222,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,6,68990.97384,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,7,106391.0559,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,8,155992.6612,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,9,251735.1863,
5,Real terms (March 2022 prices),Owner,Financial wealth,decile,10,1312486.665,
5,Real terms (March 2022 prices),Owner,Financial wealth,quintile,1,3033.32942,
5,Real terms (March 2022 prices),Owner,Financial wealth,quintile,2,19771.27162,
5,Real terms (March 2022 prices),Owner,Financial wealth,quintile,3,56117.98602,
5,Real terms (March 2022 prices),Owner,Financial wealth,quintile,4,131116.7849,
5,Real terms (March 2022 prices),Owner,Financial wealth,quintile,5,781413.7856,
5,Real terms (March 2022 prices),Owner,Private pension wealth,decile,1,123.6962245,
