round,price_basis,measure,owner_mean,renter_mean,mean_gap,mean_ratio,owner_median,renter_median,median_gap,median_ratio
5,Nominal,Total wealth,961741.6201813504,103886.57164223732,857855.048539113,9.257612461150211,658313.421198911,40786.1368637023,617527.2843352087,16.140617175851688
5,Nominal,Total wealth excl private pension,579560.141980691,38139.904009620965,541420.23797107,15.195637142518615,366000.0,20900.0,345100.0,17.51196172248804
5,Nominal,Property wealth,340669.34419194516,4664.604218722008,336004.7399732231,73.03285085251682,230000.0,0.0,230000.0,
5,Nominal,Financial wealth,171151.75429994854,11327.768670365787,159823.98562958275,15.109043915038022,48000.0,1050.0,46950.0,45.714285714285715
5,Nominal,Private pension wealth,382181.4782006595,65746.66763261636,316434.81056804315,5.8129406700312,244586.810104278,500.0,244086.810104278,489.17362020855603
5,Nominal,Physical wealth,69366.62142724638,23442.347063272522,45924.27436397386,2.9590305629389864,56000.0,15700.0,40300.0,3.56687898089172
5,Real terms (March 2022 prices),Total wealth,1115965.1270032602,120545.67327012598,995419.4537331342,9.257612461150211,763879.61722782,47326.54327312069,716553.0739546993,16.140617175851688
5,Real terms (March 2022 prices),Total wealth excl private pension,672497.5751070766,44255.964313952616,628241.610793124,15.195637142518612,424691.2350597609,24251.49402390438,400439.74103585654,17.51196172248804
5,Real terms (March 2022 prices),Property wealth,395298.5916171475,5412.613460967271,389885.97815618024,73.0328508525168,266882.4701195219,0.0,266882.4701195219,
5,Real terms (March 2022 prices),Financial wealth,198597.40414286856,13144.273407346753,185453.13073552182,15.109043915038024,55697.21115537848,1218.3764940239043,54478.83466135457,45.71428571428571
5,Real terms (March 2022 prices),Private pension wealth,443467.55189618346,76289.70895617336,367177.84294001013,5.812940670031198,283808.4001708006,580.1792828685258,283228.2208879321,489.17362020855603
5,Real terms (March 2022 prices),Physical wealth,80490.15334934466,27201.52821584909,53288.625133495574,2.9590305629389864,64980.079681274896,18217.629482071712,46762.45019920319,3.56687898089172
