round,price_basis,renters_weighted_count,share_zero_private_wealth,share_near_zero_private_wealth,near_zero_threshold
5,Nominal,838974.34230167,0.06067120828280787,0.3151233492958938,1000
5,Real terms (March 2022 prices),838974.34230167,0.06067120828280787,0.307215920305954,1000
6,Nominal,820776.4025555919,0.04809422028601818,0.28889789574254787,1000
6,Real terms (March 2022 prices),820776.4025555919,0.04809422028601818,0.27655512001597055,1000
7,Nominal,978780.9893124605,0.019627345347140675,0.24559586558042545,1000
7,Real terms (March 2022 prices),978780.9893124605,0.019627345347140675,0.2434212991618781,1000
8,Nominal,1190699.421475662,0.015766705708856715,0.15962599843603967,1000
8,March 2022 prices,1190699.421475662,0.015766705708856715,0.15962599843603967,1000
