group,owner_88,renter_88,gap_88,owner_88_disc,renter_88_disc,gap_88_disc,owner_88_med,renter_88_med,gap_88_med,n_owners,n_renters
No degree,2451968.098329075,180999.3558651785,2270968.7424638965,398190.40161613515,28880.985737101157,369309.415879034,1751349.3854009686,18343.98257927686,1733005.4028216917,298,250
Degree+,3389098.497478741,798828.0410995896,2590270.456379152,543011.8047827177,122494.63300635593,420517.17177636176,2742120.690156463,31588.739621572255,2710531.950534891,543,170
