component,owner_at_67,renter_at_67,gap_67,owner_at_88,renter_at_88,gap_88
Property,594950.4488071391,0.0,594950.4488071391,834440.8587528937,0.0,834440.8587528937
Financial,968328.9321773275,285640.50604992657,682688.426127401,1337609.9912914282,216226.20671544026,1121383.784575988
Pension,453458.3369355223,171801.8773669824,281656.4595685399,826204.5522485529,186176.97947230615,640027.5727762468
Physical,56250.475838064944,26688.266348331657,29562.209489733286,55309.12422420492,26241.63825810087,29067.48596610405
Total,2072988.193758054,484130.6497652406,1588857.5439928132,3053564.52651708,428644.82444584736,2624919.7020712327
Total (discounted),686197.4958445362,155931.64251689264,530265.8533276436,491159.36191157077,66404.32529318566,424755.0366183851
Total (median),1781017.2817775768,144574.10381968698,1636443.1779578899,2403610.8212393937,26770.11832336632,2376840.7029160275
