channel,value,share
A. Property capital gain,834440.8587528937,0.31789195612134935
B. Housing cost savings (total),1312284.2003212124,0.49993308339517384
  B.1 pre-retirement (rolled),836003.1878090063,0.31848714730181854
  B.2 post-retirement (net adapt),476281.0125122062,0.18144593609335533
C. Income & endowment residual,478194.64299712656,0.1821749604834768
TOTAL,2624919.7020712327,1.0
